created_at,entry_id,field1,field2
2024-02-21 16:58:15 UTC,1,73.4,20
2024-02-21 16:58:57 UTC,2,73.4,20
2024-02-21 16:59:58 UTC,3,73.4,20
2024-02-21 17:00:31 UTC,4,73.4,20
2024-02-21 17:01:10 UTC,5,73.4,20
2024-02-21 17:01:46 UTC,6,73.4,20
2024-02-21 17:02:22 UTC,7,73.4,20
2024-02-21 17:02:53 UTC,8,73.4,20
2024-02-21 17:03:24 UTC,9,73.4,79
2024-02-21 17:03:55 UTC,10,73.4,20
2024-02-21 17:04:27 UTC,11,73.4,20
2024-02-21 17:04:58 UTC,12,73.4,44
2024-02-21 17:05:30 UTC,13,73.4,79
2024-02-21 17:06:00 UTC,14,73.4,20
2024-02-21 17:06:37 UTC,15,73.4,20
2024-02-21 17:07:13 UTC,16,73.4,20
2024-02-21 17:07:54 UTC,17,73.4,20
2024-02-21 17:08:36 UTC,18,73.4,45
2024-02-21 17:15:21 UTC,19,73.4,20
2024-02-21 17:25:12 UTC,20,73.4,20
2024-02-21 17:25:43 UTC,21,75.2,20
2024-02-21 17:26:14 UTC,22,73.4,20
2024-02-21 17:26:45 UTC,23,73.4,20
2024-02-21 17:27:16 UTC,24,73.4,20
2024-02-21 17:27:47 UTC,25,73.4,44
2024-02-21 17:28:18 UTC,26,73.4,20
2024-02-21 17:28:49 UTC,27,73.4,20
2024-02-21 17:29:20 UTC,28,73.4,20
2024-02-21 17:29:51 UTC,29,73.4,20
2024-02-21 17:30:22 UTC,30,73.4,50
2024-02-21 17:30:53 UTC,31,73.4,50
2024-02-21 17:31:23 UTC,32,73.4,20
2024-02-21 17:31:54 UTC,33,73.4,20
2024-02-21 17:32:25 UTC,34,73.4,50
2024-02-21 17:33:03 UTC,35,73.4,34
2024-02-21 17:57:52 UTC,36,71.6,20
2024-02-21 17:58:23 UTC,37,71.6,33
2024-02-21 17:58:53 UTC,38,71.6,36
2024-02-21 17:59:24 UTC,39,71.6,39
2024-02-21 17:59:55 UTC,40,71.6,30
2024-02-21 18:00:26 UTC,41,71.6,32
2024-02-21 18:00:57 UTC,42,71.6,45
2024-02-21 18:01:28 UTC,43,71.6,51
2024-02-21 18:02:00 UTC,44,71.6,29
2024-02-21 18:02:30 UTC,45,71.6,20
2024-02-21 18:03:02 UTC,46,71.6,20
2024-02-21 18:03:32 UTC,47,71.6,20
2024-02-21 18:04:04 UTC,48,71.6,20
2024-02-21 18:04:34 UTC,49,71.6,20
2024-02-21 18:05:05 UTC,50,71.6,20
2024-02-21 18:05:36 UTC,51,71.6,20
2024-02-21 18:06:07 UTC,52,71.6,20
2024-02-21 18:06:38 UTC,53,71.6,20
2024-02-21 18:07:09 UTC,54,71.6,20
2024-02-21 18:07:40 UTC,55,71.6,79
2024-02-21 18:08:11 UTC,56,71.6,41
2024-02-21 18:08:42 UTC,57,71.6,20
2024-02-21 18:09:13 UTC,58,73.4,28
2024-02-21 18:09:44 UTC,59,73.4,28
2024-02-21 18:10:14 UTC,60,73.4,28
2024-02-21 18:10:45 UTC,61,73.4,28
2024-02-21 18:11:16 UTC,62,73.4,20
2024-02-21 18:11:47 UTC,63,73.4,20
2024-02-21 18:12:18 UTC,64,73.4,20
2024-02-21 18:12:49 UTC,65,73.4,20
2024-02-21 18:13:19 UTC,66,73.4,20
2024-02-21 18:13:50 UTC,67,73.4,20
2024-02-21 18:14:21 UTC,68,71.6,20
2024-02-21 18:14:52 UTC,69,73.4,20
2024-02-21 18:15:22 UTC,70,73.4,20
2024-02-21 18:15:53 UTC,71,73.4,41
2024-02-21 18:16:24 UTC,72,71.6,20
2024-02-21 18:16:55 UTC,73,71.6,50
2024-02-21 18:17:25 UTC,74,71.6,20
2024-02-21 18:17:56 UTC,75,71.6,20
2024-02-21 18:18:27 UTC,76,71.6,45
2024-02-21 18:18:58 UTC,77,71.6,20
2024-02-21 18:19:29 UTC,78,71.6,20
2024-02-21 18:19:59 UTC,79,71.6,20
2024-02-21 18:20:30 UTC,80,71.6,79
2024-02-21 18:21:01 UTC,81,71.6,51
2024-02-21 18:21:32 UTC,82,71.6,20
2024-02-21 18:22:03 UTC,83,71.6,20
2024-02-21 18:22:33 UTC,84,73.4,20
2024-02-21 18:23:04 UTC,85,73.4,20
2024-02-21 18:23:40 UTC,86,75.2,20
2024-02-21 18:24:11 UTC,87,77.0,20
2024-02-21 18:24:42 UTC,88,78.8,20
2024-02-21 18:25:12 UTC,89,78.8,20
2024-02-21 18:25:43 UTC,90,78.8,20
2024-02-21 18:26:14 UTC,91,78.8,20
2024-02-21 18:26:45 UTC,92,77.0,20
2024-02-21 18:27:16 UTC,93,77.0,20
